ChemicalID,ChemicalName,CAS Number,Lab,Qty,Units,Phase,Room,Location,SubLocation,Status,Plasmid Name,Primary Box,Secondary Box,Primary Tube,Secondary Tube,Primary Date Deposited,Secondary Date Deposited,Primary Deposited By,Secondary Deposited By,Primary Preparation/Concentration,Secondary Preparation/Concentration,Primary Reference,Secondary Reference,System,Organism,gene,Fragment Size,Mutations,Vector,Markers,Hosts,Notebook Reference,Source,File,Freezer ID,Freezer Name,Shelf ID,Shelf Name,Rack ID,Rack Name,Drawer ID,Drawer Name,Category ID,Category Name,Box ID,Box Name,Item Group ID,Item Group Name,Item ID,Item Name,Row,Column,Concentration,Volume/Mass,Expires On,Created On,Notes,Catalog #,Packaging,Price,Lot,Item Type,GHS Hazard Codes,SDS URL,Storage Class,Min Stock Level,Reorder Qty
,,,,,,,,Refrigerator #1,3rd Shelf / Antibody Box,Box,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386659368,3rd Shelf,,,,,,,dyn-box-1782413208559-49,Antibody Box,,,dyn-box-1782413208559-49,Antibody Box,,,,9x9,,,9x9 grid box,,,,,Box,,,,,
,Halt Protease Inhibitor Single-Use Cocktail (100x),,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Halt Protease Inhibitor Single-Use Cocktail (100x),,,,,,2026-08-10T21:14:35.023Z,,,,,,Sample,,,,,
,Percoll,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Percoll,,,,25 mL,,2026-08-10T21:16:13.272Z,pH 8.5-9.5,,,,,Sample,,,,,
,Bio-Rad Protein Assay Standard II,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Bio-Rad Protein Assay Standard II,,,1.4 mg/mL,,,2026-08-10T21:16:53.497Z,Bovine Serum Albumin,,,,,Sample,,,,,
,Bio-Rad Protein Assay Standard I,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Bio-Rad Protein Assay Standard I,,,1.64 mg/mL,,,2026-08-10T21:17:56.928Z,Lyophilized Bovine Plasma Gamma Globulin,,,,,Sample,,,,,
,Vancomycin,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Vancomycin,,,,,2013-02-28,2026-08-10T21:18:46.094Z,,,,,,Sample,,,,,
,Hemin,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Hemin,,,,1 g,,2026-08-10T21:20:17.096Z,"Bovine, Desiccate",,,,,Sample,,,,,
,Pyridoxal-5-phosphate,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,Pyridoxal-5-phosphate,,,,5 g,,2026-08-10T21:21:23.755Z,,,,,,Sample,,,,,
,"1,2-cyclohexanedione, 97%",,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,"1,2-cyclohexanedione, 97%",,,,5 g,,2026-08-10T21:21:58.358Z,,,,,,Sample,,,,,
,PDEA Thiol Coupling Reagent,,Lab Main,1,vials,,,Refrigerator #1 / 2nd Shelf / Tray 3,Refrigerator #1 / 2nd Shelf / Tray 3,Available,,,,,,,,,,,,,,,,,,,,,,,,,dyn-store-1782413208557-4,Refrigerator #1,shelf-1786386628395,2nd Shelf,,,,,,,dyn-box-1782413208557-8,Tray 3,,,,PDEA Thiol Coupling Reagent,,,,100 mg,,2026-08-10T21:22:47.694Z,,,,,,Sample,,,,,
